date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:42:53	1490/1490	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2016%20May%202025%2011:42:52%20GMT	https://zenka-kash.vercel.app/robots.txt		(from )
14:42:53	16856/16856	U-----	200	untouched ('OK')	text/html	etag:W/%22fa8d730acc33d763e8ff456a31c55fda%22	https://zenka-kash.vercel.app/	C:/My%20Web%20Sites/Zenka/Zenka%20Node/zenka-kash.vercel.app/index.html	(from )
14:42:53	8232/8232	U-----	200	untouched ('OK')	text/html	etag:W/%222daa806e7d532f1d9825219a4bf0cb97%22	https://zenka-kash.vercel.app/signup.html	C:/My%20Web%20Sites/Zenka/Zenka%20Node/zenka-kash.vercel.app/signup.html	(from )
14:42:54	3739/3739	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2016%20May%202025%2011:42:53%20GMT	https://zenka-kash.vercel.app/images/icons/icon-72x72.png	C:/My%20Web%20Sites/Zenka/Zenka%20Node/zenka-kash.vercel.app/images/icons/icon-72x72.2.delayed	(from https://zenka-kash.vercel.app/)
14:42:54	1345/1345	U-----	200	untouched ('')	application/json	etag:W/%22c72b4dfbb88bb35c53aa60c1a11668ae%22	https://zenka-kash.vercel.app/manifest.json	C:/My%20Web%20Sites/Zenka/Zenka%20Node/zenka-kash.vercel.app/manifest.json	(from https://zenka-kash.vercel.app/)
14:42:55	3739/3739	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2016%20May%202025%2011:42:54%20GMT	https://zenka-kash.vercel.app/images/icons/icon-192x192.png	C:/My%20Web%20Sites/Zenka/Zenka%20Node/zenka-kash.vercel.app/images/icons/icon-192x192.3.delayed	(from https://zenka-kash.vercel.app/)
14:42:56	6003/6003	U-----	200	untouched ('OK')	text/html	etag:W/%2270411eccac7142a6be9e831a4ce10ed9%22	https://zenka-kash.vercel.app/reviewpage.html	C:/My%20Web%20Sites/Zenka/Zenka%20Node/zenka-kash.vercel.app/reviewpage.html	(from https://zenka-kash.vercel.app/)
14:42:56	2361/2361	U-----	200	untouched ('')	application/javascript	etag:W/%22cd850d310e53f27ed4ed36e194d1a537%22	https://zenka-kash.vercel.app/service-worker.js	C:/My%20Web%20Sites/Zenka/Zenka%20Node/zenka-kash.vercel.app/service-worker.js	(from https://zenka-kash.vercel.app/)
14:42:56	8051/8051	U-----	200	untouched ('OK')	text/html	etag:W/%224f33ab891138270b6222cde92e381533%22	https://zenka-kash.vercel.app/login.html	C:/My%20Web%20Sites/Zenka/Zenka%20Node/zenka-kash.vercel.app/login.html	(from https://zenka-kash.vercel.app/)
14:42:56	3739/3739	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2016%20May%202025%2011:42:55%20GMT	https://zenka-kash.vercel.app/images/apple-touch-icon.png	C:/My%20Web%20Sites/Zenka/Zenka%20Node/zenka-kash.vercel.app/images/apple-touch-icon.7.delayed	(from https://zenka-kash.vercel.app/signup.html)
14:42:57	3739/3739	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2016%20May%202025%2011:42:56%20GMT	https://zenka-kash.vercel.app/images/favicon-32x32.png	C:/My%20Web%20Sites/Zenka/Zenka%20Node/zenka-kash.vercel.app/images/favicon-32x32.8.delayed	(from https://zenka-kash.vercel.app/signup.html)
14:42:57	3739/3739	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2016%20May%202025%2011:42:56%20GMT	https://zenka-kash.vercel.app/images/favicon-16x16.png	C:/My%20Web%20Sites/Zenka/Zenka%20Node/zenka-kash.vercel.app/images/favicon-16x16.9.delayed	(from https://zenka-kash.vercel.app/signup.html)
14:42:58	3739/3739	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2016%20May%202025%2011:42:57%20GMT	https://zenka-kash.vercel.app/images/site.webmanifest	C:/My%20Web%20Sites/Zenka/Zenka%20Node/zenka-kash.vercel.app/images/site.a.delayed	(from https://zenka-kash.vercel.app/signup.html)
