date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:29:44	1492/1492	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2016%20May%202025%2011:29:42%20GMT	https://zenka-kash.vercel.app/robots.txt		(from )
14:29:44	16856/16856	---MCZ	200	added ('OK')	text/html	etag:W/%22fa8d730acc33d763e8ff456a31c55fda%22	https://zenka-kash.vercel.app/	C:/My%20Web%20Sites/Zenka/Zenka%20Node/zenka-kash.vercel.app/index.html	(from )
14:29:45	1345/1345	---MCZ	200	added ('OK')	application/json	etag:W/%22c72b4dfbb88bb35c53aa60c1a11668ae%22	https://zenka-kash.vercel.app/manifest.json	C:/My%20Web%20Sites/Zenka/Zenka%20Node/zenka-kash.vercel.app/manifest.json	(from https://zenka-kash.vercel.app/)
14:29:46	3739/3739	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2016%20May%202025%2011:29:45%20GMT	https://zenka-kash.vercel.app/images/icons/icon-72x72.png	C:/My%20Web%20Sites/Zenka/Zenka%20Node/zenka-kash.vercel.app/images/icons/icon-72x72.1.delayed	(from https://zenka-kash.vercel.app/)
14:29:47	3739/3739	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2016%20May%202025%2011:29:46%20GMT	https://zenka-kash.vercel.app/images/icons/icon-192x192.png	C:/My%20Web%20Sites/Zenka/Zenka%20Node/zenka-kash.vercel.app/images/icons/icon-192x192.2.delayed	(from https://zenka-kash.vercel.app/)
14:29:48	2361/2361	---MCZ	200	added ('OK')	application/javascript	etag:W/%22cd850d310e53f27ed4ed36e194d1a537%22	https://zenka-kash.vercel.app/service-worker.js	C:/My%20Web%20Sites/Zenka/Zenka%20Node/zenka-kash.vercel.app/service-worker.js	(from https://zenka-kash.vercel.app/)
14:29:48	6003/6003	---MCZ	200	added ('OK')	text/html	etag:W/%2270411eccac7142a6be9e831a4ce10ed9%22	https://zenka-kash.vercel.app/reviewpage.html	C:/My%20Web%20Sites/Zenka/Zenka%20Node/zenka-kash.vercel.app/reviewpage.html	(from https://zenka-kash.vercel.app/)
14:29:49	8051/8051	---MCZ	200	added ('OK')	text/html	etag:W/%224f33ab891138270b6222cde92e381533%22	https://zenka-kash.vercel.app/login.html	C:/My%20Web%20Sites/Zenka/Zenka%20Node/zenka-kash.vercel.app/login.html	(from https://zenka-kash.vercel.app/)
14:29:50	3739/3739	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2016%20May%202025%2011:29:49%20GMT	https://zenka-kash.vercel.app/dashboard.html	C:/My%20Web%20Sites/Zenka/Zenka%20Node/zenka-kash.vercel.app/dashboard.6.delayed	(from https://zenka-kash.vercel.app/login.html)
14:29:51	8232/8232	---MCZ	200	added ('OK')	text/html	etag:W/%222daa806e7d532f1d9825219a4bf0cb97%22	https://zenka-kash.vercel.app/signup.html	C:/My%20Web%20Sites/Zenka/Zenka%20Node/zenka-kash.vercel.app/signup.html	(from https://zenka-kash.vercel.app/login.html)
